query_idx,video_id_gt,timestamp_start_gt,timestamp_end_gt,query_text,strategy,latency_server_total_ms,keyframe_1,keyframe_2,keyframe_3,keyframe_4,keyframe_5
25,bQMgYUqWWpU,0.0,110.11,"A cross-country race unfolds on a grassy field, runners pushing their limits as a man announces race times, the cheers of the crowd intermingling with his voice.",heuristic,2384.04,DEx7DxBoTAc_1108,DEx7DxBoTAc_717,DEx7DxBoTAc_2368,DEx7DxBoTAc_600,DEx7DxBoTAc_2049
26,ZGc-nS0mrhQ,0.0,103.754,"A man in a tie and white shirt sings into a microphone on a brightly lit stage, hyping up the dancing crowd in front of him.",heuristic,1925.42,SOJfcshF9_Q_2155,ZGc-nS0mrhQ_861,Xum6znImE18_1242,SOJfcshF9_Q_3053,ZGc-nS0mrhQ_0
27,_A8Ra5DXbUY,5.171,114.364,"A man, visible on a wooden floor in a well-lit room with a bookshelf in the background, is following the instructions of a fitness instructor who is audible but not visible, performing a series of exercises using a white towel.",heuristic,2421.77,_A8Ra5DXbUY_853,KaK0kzOopw8_7914,Ll65N6WqwwQ_8164,KaK0kzOopw8_7997,GOytCM4V23o_593
28,_XWH06cPzJY,0.0,45.4,"A man calls his two daughters into the bedroom where suitcases lay open on the bed, packed with their belongings and a couple of stuffed animals. The girls rush in, shrieking with delight when they are told they are going on a Disney cruise.",heuristic,3507.99,_XWH06cPzJY_76,_XWH06cPzJY_1134,oA-BhGNK7qw_111062,bShcPJpUVfE_3999,0DVVomZLJQs_131098
29,Y8FcmVZNK8Y,0.0,87.033,"Two young women in matching graphic tees are taking a selfie in the bathroom, their laughter echoing in the small space as one of them excitedly reveals a gift bag containing a roll of toilet paper.",heuristic,2499.29,Y8FcmVZNK8Y_296,KxzTBSPi9aI_140,oQxDR7c6Sv8_5321,AfHeUd8PLOM_161,IWquNO7pJ_Q_5985
30,YQBj3WWde30,0.0,103.833,"A futuristic video game unfolds with characters engaged in intense combat amidst a cityscape, the sounds of electronic music, gunfire, and character exclamations heightening the sense of action and chaos.",heuristic,2354.42,EF2xlJIGFdQ_56791,EF2xlJIGFdQ_94125,pDHenIEC7pk_4715,EF2xlJIGFdQ_57695,EF2xlJIGFdQ_94132
31,YcZUT5FBtJc,0.0,317.116,"The video starts with a black screen displaying white text that encourages viewers to reach the highest rank. Then, upbeat music begins playing as the screen transitions to a digital interface showing a leaderboard with usernames and rankings. The scene then shifts to a space battle with two spaceships, one red and one green, firing projectiles at each other, accompanied by intense trailer music. As the music fades, a hip-hop song starts playing, with lyrics about perseverance and overcoming challenges, while the video showcases dynamic space battles with multiple spaceships engaged in combat.",heuristic,4135.99,wyEVCUU6AbA_419,wyEVCUU6AbA_6737,eSJCk8fNFi8_11483,YcZUT5FBtJc_169,qYCtEAthTfo_291
32,YkM_ZlUI5J8,0.0,561.994,"A young man, dressed in formal attire, delivers a speech at a podium on a stage decorated with flowers and a ""BRIDGTON ACADEMY"" banner, while a seated man listens attentively as the speaker recounts the life of James Hamlin, a man who overcame challenges and generously donated to the academy.",heuristic,2197.45,xdFwSqafA-U_790,YkM_ZlUI5J8_936,YkM_ZlUI5J8_4679,YkM_ZlUI5J8_15907,IL2Pj1bOb4Q_1305
33,YxguQMKgaUk,0.0,102.033,"The video showcases a motorcycle, starting with close-ups of its handlebars and sleek design, then shows it parked on a grassy field. A man speaks, modifying the motorcycle's sound, as heard in the starting and idling engine noises, culminating in a powerful roar as the motorcycle speeds away.",heuristic,2268.65,YxguQMKgaUk_67,YDUakUmxuOQ_3220,Ll65N6WqwwQ_10360,992LjxXKfPk_986,YDUakUmxuOQ_3545
34,TmqbLiW4cl8,4.52,29.52,"A webpage about biopics is displayed, featuring a split image of a man, one side showing him in formal attire and the other in a casual pose. As the audio discusses cricket figures like Ravi Shastri and Azharuddin, the video transitions to close-up shots of a man wearing sunglasses, capturing his expressions and movements in various settings.",heuristic,2104.85,TmqbLiW4cl8_174,4JsjkyuzfdI_6273,TmqbLiW4cl8_776,MwFpY7wY9-k_3634,IquGEf1w-Us_2813
35,UqBQqY1g-ps,0.0,240.373,"The race begins with the roar of engines as the cars speed off, maneuvering for position on the curvy track, until a crash brings out the safety car, prompting a flurry of activity in the pit lane.",heuristic,2221.85,2lJMU_78m7A_816,UqBQqY1g-ps_2276,2lJMU_78m7A_706,UqBQqY1g-ps_2267,2lJMU_78m7A_745
36,ME49XGmzzjg,0.0,86.519,"A martial arts training session takes place outdoors, starting with two individuals sparring with controlled movements, then transitioning to a dynamic demonstration of kicks and punches, and finally ending with a man powerfully striking a red punching bag.  The upbeat electronic and pop music sets an energetic atmosphere, while a man's voice periodically interjects, announcing the start of games and expressing gratitude to sponsors.",heuristic,2115.7,GOytCM4V23o_862,GOytCM4V23o_882,GOytCM4V23o_875,5_ktCUWKhm0_154987,l2a5Jfb_ryM_3169
37,McfK9Zi3HDY,0.0,55.72,"The video opens with a panoramic view of Lake Garda, the camera panning over sailboats gently bobbing on the calm waters against a backdrop of majestic mountains. As a woman speaks about the strong winds at Torvalet, the scene shifts to show windsurfers cutting through the choppy water, their colorful sails billowing.",heuristic,2287.93,3mkSxc4anWQ_2096,ZiGlHTfqN-E_2064,gf-H5OBP9jI_299,3mkSxc4anWQ_44,YuoFzL4ShRY_2826
38,JS-7WQLMkXE,0.5,216.0,"As the soccer match unfolds under the bright floodlights, players in vibrant jerseys chase the ball across the well-maintained field, their movements a blur of athleticism and teamwork, while spectators watch from the sidelines, their cheers and applause adding to the electric atmosphere.",heuristic,1941.77,H7IlUr2ef_o_3044,H7IlUr2ef_o_2910,X-PWidOvHT8_1148,G2igaJVic-8_4130,HcGa_j-YDmw_4126
39,L1ZkHoirlmo,4.04,35.59619047619048,"A woman, comfortably seated indoors, gently cradles and feeds her baby from a bottle, while a voice explains the nuances of breastfeeding, emphasizing the importance of proper positioning and latching techniques for newborns.",heuristic,2041.48,DHI_NLr_MQY_7484,8wAybqBnYQk_963,aw6rLeAo4gk_189079,aw6rLeAo4gk_171354,o3H4y1Kgu0M_1122
40,L9SqKlQn69c,4.971,146.813,"A man dressed as Santa Claus is standing outside a house decorated with Christmas lights, talking to a woman who had been hoping to win a snowblower.",heuristic,1850.03,L9SqKlQn69c_2509,L9SqKlQn69c_3077,L9SqKlQn69c_465,L9SqKlQn69c_1871,L9SqKlQn69c_699
41,C7_yXTIwxmA,0.0,47.563,A baby wearing a gray onesie with an orange logo is being fed with a bottle while looking curiously at the camera and making cooing sounds.,heuristic,1969.29,DHI_NLr_MQY_7484,efv_PnNp5XE_2240,ZgBET1qRAmI_2014,_oCvq1llsxE_861,efv_PnNp5XE_2255
42,CHpFQ4smFz0,0.0,236.267,"A man, accompanied by his dog, spends a peaceful day fishing by a serene river, casting his line into the calm water as his dog watches attentively from the bank and occasionally takes a dip in the water.",heuristic,1960.33,CHpFQ4smFz0_2229,CHpFQ4smFz0_184,CHpFQ4smFz0_135,CHpFQ4smFz0_1763,CHpFQ4smFz0_941
43,DYQMViyqMnU,0.0,205.633,"The video starts with a view from inside a parked car before it begins to drive through city streets and then onto a highway, the overcast sky and passing cars reflected on the windshield.  A standup comedian can be heard telling jokes, followed by the distinct sounds of a car starting and driving away.",heuristic,2301.52,W5Wh4xCmPC4_4834,1nlgzS-TIvc_2707,X40MPQXah9U_10199,wE2TaVedY5Q_233,_qtYCQncULQ_5163
44,BBcu4EclgOs,0.0,163.633,"The video starts with a first-person view of a player navigating a lush, green environment in a game, armed with a weapon. The player, wearing a pink outfit, explores the terrain as upbeat music with lyrics about life's struggles and self-reliance plays in the background.",heuristic,3444.88,EF2xlJIGFdQ_89126,BBcu4EclgOs_0,0e3GPea1Tyg_35905,26BT7YzpzQs_10294,BBcu4EclgOs_225
45,BcFpM4upfxo,6.6,75.666,"The video starts with a close-up of a shiny black SUV, showcasing its exterior as a woman's voice highlights its features and affordable price. The camera then pans to the car's interior, focusing on the spacious backseats with black leather upholstery, while the audio transitions to a conversation about the car's heated seats. As the video continues, it moves to a close-up of the center console with its touchscreen display, accompanied by upbeat pop music playing in the background.",heuristic,2618.88,RnRcjb3MAs8_861,1zjizzVY_H4_3831,ZIdFAGJrlCw_5437,05j4tIvoC8o_735,TqwXQ3zeAI0_421
46,5YRfsnXhq14,0.0,85.552,"A man, presumably named Geno, is in a showroom introducing the features of a black Harley Davidson motorcycle to the viewers while the camera pans across the motorcycle to show its details.",heuristic,1995.85,1NEm6ScZkz0_5564,1nlgzS-TIvc_15692,1nlgzS-TIvc_18778,l2a5Jfb_ryM_516,ep4U3To3LRU_87813
47,6NBjm9jQVHI,15.166,200.166,"A group of tourists is walking through ancient ruins on a sunny day, later, a man speaks to the camera about the historical significance of the site, with the ruins standing majestically behind him.",heuristic,1942.67,Yw5_IfvHueo_2645,lHJ_OYAC56U_1624,PtZ3Z-ekdF0_10060,bze7n_7Ntkw_3571,Ll65N6WqwwQ_10360
48,6RGTgYM1mwk,7.8,50.833,"A silver 2010 Dodge Grand Caravan SE is parked in front of a dealership, its yellow sale signs prominent in the tinted windows.  A woman's voice describes the minivan's features and safety ratings, highlighting its spacious interior, family-friendly design, and low mileage.",heuristic,2649.01,NHCz1FGp470_2585,IhoM6jese_Y_358,X40MPQXah9U_9583,3PSDRMdp2Yc_6260,peJoONtOeOg_6632
49,6Rfvlxpc7xs,0.0,211.93160997732426,"A female singer in a white top and a checkered skirt performs with her band, the bright stage lights illuminating the energetic atmosphere.",heuristic,2152.51,-QEfaBLGPQk_4846,vDrpSVLIn_c_2096,6Rfvlxpc7xs_1786,4JsjkyuzfdI_13368,pPXltWFLIys_1131
50,6j2Y6V3U-Lc,16.2,354.6615873015873,"Four men in formal attire are having a discussion about the upcoming Gold Cup horse race, analyzing the strengths and weaknesses of various contenders, while sitting at a table with the ""Star Sports"" logo in the background.",heuristic,2037.05,6j2Y6V3U-Lc_468,6j2Y6V3U-Lc_8871,6j2Y6V3U-Lc_191,6j2Y6V3U-Lc_305,Lo9uUfSSBg0_9905
51,714uCusHL4o,4.963,99.265,"A man in a UConn jacket speaks to the camera on a football field, expressing his disappointment about a player's upcoming surgery and the need for other players to step up in his absence.",heuristic,3230.81,I6xo-Pe3Ypg_117,mvl5ZOIy_sM_2796,I6xo-Pe3Ypg_150,mvl5ZOIy_sM_2126,I6xo-Pe3Ypg_139
52,fcasgJw8jbg,0.0,66.64,"This video showcases the beauty of a vintage car, starting with close-ups of its intricate dashboard and steering wheel before panning out to reveal its sleek exterior as it drives down a winding road. The driver's hands confidently navigate the car, their voice providing commentary on the car's features and the picturesque scenery.",heuristic,2466.63,ZIdFAGJrlCw_790,nr8_sVTk2ME_3899,fcasgJw8jbg_93,rtXm_4PZLNY_756,mDSFARouUS0_9267
53,fsG0QmTqhio,0.0,37.166,"Inside a brightly lit store, three women laugh and chat, one sporting a patriotic top, their drinks in hand suggesting a casual celebration. As a woman raps about her summer plans, two of them break into a lively dance in front of the store shelves, their movements energetic and playful.",heuristic,2162.04,2BByygOLXNM_6367,olZPuJTwh0s_4732,0DVVomZLJQs_19668,wXFs1TTGSPI_2287,sNm_rmkzt3Y_940
54,fx9wANarmj0,0.0,133.7,"A marching band in red and white uniforms performs on stage, their synchronized movements accompanied by the lively music from their instruments and the rhythmic waving of blue and white flags.",heuristic,2005.45,5_ktCUWKhm0_24305,ZlosBynTeh4_126,bXAlepngbt8_2801,EZlxlJifiqQ_35990,EZlxlJifiqQ_35665
55,gf-H5OBP9jI,25.025,30.063,"A promotional graphic for the Democratic Debate, co-hosted by PBS NewsHour and POLITICO, fills the screen, while in the background, a man and a woman engage in a conversation.",heuristic,2435.18,4bveRsmZyXI_3379,Ll65N6WqwwQ_1130,L76mz5AOOIE_2691,ICJXXGd8ZOc_4759,WvwXV8L_ewc_5019
56,h37mxfmaZiM,0.0,194.143,"As a marching band takes the field at night, illuminated by bright stadium lights, an announcer introduces their ""magical"" performance. The band begins to play, their synchronized movements captivating the cheering crowd.",heuristic,3701.97,vZ4NNm2K6ks_9657,vZ4NNm2K6ks_2841,JS-7WQLMkXE_2258,pPXltWFLIys_700,h37mxfmaZiM_968
57,hKkycSsq__E,1.166,22.166,"A stylized animal, wearing an apron, happily picks ripe red apples from a lush green tree and prepares a delicious apple pie, meticulously arranging the apples and pouring apple sauce into the pie dish, as a cheerful voice narrates the story of Archie, who loves to make apple sauce and pie.",heuristic,2903.37,hKkycSsq__E_58,hKkycSsq__E_41,hKkycSsq__E_67,hKkycSsq__E_4,hKkycSsq__E_184
58,12UhbTNX3Cg,0.0,159.192,"In a spacious room with wooden floors and white walls, a diverse group of people energetically follow along to their instructor's dance routine as upbeat music plays in the background.",heuristic,2300.83,eMmpc9xxQNU_2734,KnEO3Xzvn9M_1155,0e3GPea1Tyg_21304,eMmpc9xxQNU_2387,urG3lSOOcW0_2464
59,-p1bAo2wbNA,0.0,54.866,"A man dressed in black performs an energetic dance routine in front of a seated audience, spinning and twirling to the rhythm of a pop song, eliciting cheers and claps from the captivated onlookers.",heuristic,3630.0,bXAlepngbt8_7109,bXAlepngbt8_7473,TRdIVvXBB8k_4760,nGNR_vrP-Ek_5332,40SL-m4u-LQ_1998
60,xxkw6OT_flM,1.004,73.32861678004535,"A young girl sits at a table in a classroom, attentively listening as a woman in a ""Shark Side"" t-shirt stands and talks about vertebrates and invertebrates, her voice filling the brightly lit room.",heuristic,2433.29,4hpYqQRepp4_2799,v2_4v8t_IY8_10788,MOpQChwKKik_988,3voe8kCy7Gs_11096,Z0Ct75njaD0_9217
61,xxkw6OT_flM,74.268,159.157,"The woman continues her presentation on marine animals, using a screen displaying a Venn diagram to illustrate the difference between vertebrates and invertebrates. She walks around the room, gesturing expressively as she explains that while both exist in the ocean, invertebrates are far more common.  Her voice echoes slightly in the room as she jokes with the class about the abundance of ""critters"" that could be found in a messy room.",heuristic,2396.99,I1ECITk7WTY_4343,WZuiTeSps-c_2020,SOJfcshF9_Q_3817,ryDNCQtDocw_753,p_u5NTopEso_745
62,y1k5C4QNqwY,0.0,259.25079365079364,"The video takes viewers on a journey from the driver's seat, cruising down winding roads through lush countryside, quaint towns, and serene wooded areas, accompanied by the sounds of the engine, nature, and occasional music and chatter.",heuristic,3464.25,y1k5C4QNqwY_4325,rtXm_4PZLNY_138,oQxDR7c6Sv8_4066,ZIdFAGJrlCw_900,pDHenIEC7pk_4715
63,y1k5C4QNqwY,259.283,288.872,"The car smoothly navigates a winding road bordered by a stone wall and open fields, the dashboard and steering wheel visible from the passenger side as a conversation filled with laughter can be heard, the driver commenting on the car's power with a chuckle.",heuristic,2113.48,Qt7OgOB_TVU_7392,rtXm_4PZLNY_285,vCTLISHzJyM_4043,ZIdFAGJrlCw_900,ldzt9uhf9_s_6040
64,utme9QjyLNE,7.465,11.553,"A stylized, glossy black ""DW"" logo on a white background dominates the screen as a man begins speaking, emphasizing the ""DESIGN IMPOSSIBLE"" message displayed below.",heuristic,2256.42,keHHPvqJLbM_4600,6mNFQsWIoDw_1364,HcGa_j-YDmw_5534,uz4t7zA1z8c_10996,SOJfcshF9_Q_3860
65,utme9QjyLNE,11.553,104.4,"As the ""DW"" logo fades, a man speaking with an accent introduces his new YouTube channel about high-end design software, his voice accompanied by a simple Notepad document listing software like ""CREO"" and ""SOLIDWORKS"" on a Windows computer.",heuristic,3438.78,4JsjkyuzfdI_6273,ZGXCr5n8Frg_4466,vqQhq_1JnFE_602,amTGcG8MMBc_1975,qjsOcpRVuVA_6005
66,vZ4NNm2K6ks,0.0,2.602,"A marching band, dressed in blue jackets and white pants, parades down a snow-dusted street at night, their instruments booming out lively music that mingles with the cheers of the crowd gathered along the brightly lit street.",heuristic,2619.39,wVMN1m71TDs_5466,QQ7rdcWxF2o_1497,bze7n_7Ntkw_4142,bze7n_7Ntkw_4171,kSrxSV04zGU_1812
67,vZ4NNm2K6ks,2.602,170.603,"A marching band, illuminated by the city lights, parades down the street, their instruments booming out a lively melody that mingles with the cheers of the crowd and the festive sounds of the city.",heuristic,2581.05,vZ4NNm2K6ks_3977,vZ4NNm2K6ks_569,vZ4NNm2K6ks_9657,vZ4NNm2K6ks_2841,6bElihFrX9A_3557
68,vqQhq_1JnFE,4.76,27.36,"The video begins with a man in uniform speaking to the camera in what looks like a control room full of monitors displaying maps and data. The scene then cuts to a close-up of someone typing on a keyboard before returning to the man in uniform, now wearing a headset and apparently engaged in a phone call. As the man continues to work, looking down at his computer, the audio describes the demanding work of a radio operator who must handle a variety of emergencies with calm and efficiency.  Finally, the video shows two men in uniform standing in a busy office, suggesting they may be the radio operators being discussed.",heuristic,3713.98,5cD4CAHexWs_969,5cD4CAHexWs_1541,EF2xlJIGFdQ_50572,5cD4CAHexWs_952,1MNI153DglI_4056
69,vqQhq_1JnFE,27.36,48.08,"The video shifts from a man in a police uniform in a bustling control room to a close-up of hands typing quickly on a keyboard, accompanied by the clattering of keys. The scene then cuts back to the man, now wearing a headset and attentively listening as he speaks into the receiver.",heuristic,2007.69,RmjSfjgqgF8_2533,QtK2gxsTNyM_4137,EF2xlJIGFdQ_11995,EII4qVr-Mjw_1727,vqQhq_1JnFE_784
70,r8G8byiQ5Nc,14.9,60.566,"A woman with short hair, wearing a black jacket and a striped shirt, is standing in a well-lit room, addressing a group of people. She is smiling and seems to be enjoying a conversation at first, but as she continues speaking, her expression turns serious, suggesting she might be giving a presentation in a professional setting.",heuristic,2072.34,0DVVomZLJQs_146011,40SL-m4u-LQ_3767,hZEkzHGQUnw_19569,vt3IuJCKOMQ_3574,pppPpUt_ZKk_1372
71,r8G8byiQ5Nc,60.566,64.62113378684808,"The man in the suit smiles as he walks through the conference hall, passing by tables covered with informational materials and other professionals engaged in conversations.  A man's voice can be heard off-screen, continuing the previous conversation about judging criteria.",heuristic,1952.57,aXV-U1p2owM_149313,r8G8byiQ5Nc_1896,VCaBK8NxCA8_3501,SOJfcshF9_Q_9424,r8G8byiQ5Nc_1910
72,sNm_rmkzt3Y,0.0,12.236916099773243,The bride and groom are joyfully dancing in the middle of the dance floor as the purple disco ball casts a vibrant hue over the reception.  The festive atmosphere is enhanced by the upbeat hip hop music playing in the background.,heuristic,2080.28,Cbvn1hI7gR0_11810,xW56ML986WA_4778,CvyTFwzPUOo_1382,PpmCLcSbvMc_3509,Cbvn1hI7gR0_11588
